Date,米10年金利,米5年金利,米2年金利,ドル指数,VIX,S&P500,日経225,金,原油
2016-08-10,1.508999943733215,1.0700000524520874,0.2730000019073486,,,,16735.119140625,,
2016-08-11,1.5729999542236328,1.1510000228881836,0.2750000059604645,95.86000061035156,11.68000030517578,2185.7900390625,,1342.5,43.4900016784668
2016-08-12,1.5149999856948853,1.10099995136261,0.2630000114440918,95.72000122070312,11.550000190734863,2184.050048828125,16919.919921875,1335.800048828125,44.4900016784668
2016-08-15,1.5529999732971191,1.1299999952316284,0.2750000059604645,95.62999725341795,11.8100004196167,2190.14990234375,16869.560546875,1340.300048828125,45.7400016784668
2016-08-16,1.5759999752044678,1.1579999923706057,0.2879999876022339,94.79000091552734,12.640000343322754,2178.14990234375,16596.509765625,1350.5,46.58000183105469
2016-08-17,1.5609999895095823,1.1480000019073486,0.2879999876022339,94.72000122070312,12.1899995803833,2182.219970703125,16745.640625,1342.699951171875,46.790000915527344
2016-08-18,1.5360000133514404,1.1139999628067017,0.2849999964237213,94.16000366210938,11.43000030517578,2187.02001953125,16486.009765625,1351.199951171875,48.220001220703125
2016-08-19,1.5779999494552612,1.162999987602234,0.2930000126361847,94.51000213623048,11.34000015258789,2183.8701171875,16545.8203125,1340.4000244140625,48.52000045776367
2016-08-22,1.5390000343322754,1.1330000162124634,0.2800000011920929,94.5199966430664,12.270000457763672,2182.639892578125,16598.189453125,1337.699951171875,47.04999923706055
2016-08-23,1.5529999732971191,1.1430000066757202,0.3050000071525574,94.54000091552734,12.380000114440918,2186.89990234375,16497.359375,1340.5999755859375,48.09999847412109
2016-08-24,1.559000015258789,1.1430000066757202,0.3050000071525574,94.79000091552734,13.449999809265137,2175.43994140625,16597.30078125,1324.4000244140625,46.77000045776367
2016-08-25,1.5770000219345093,1.156999945640564,0.3050000071525574,94.7699966430664,13.630000114440918,2172.469970703125,16555.94921875,1320.0999755859375,47.33000183105469
2016-08-26,1.6349999904632568,1.2410000562667847,0.3050000071525574,95.56999969482422,13.649999618530273,2169.0400390625,16360.7099609375,1321.5,47.63999938964844
2016-08-29,1.565999984741211,1.1770000457763672,0.3050000071525574,95.58000183105469,12.9399995803833,2180.3798828125,16737.490234375,1322.9000244140625,46.97999954223633
2016-08-30,1.5700000524520874,1.1820000410079956,0.32499998807907104,96.05000305175781,13.119999885559082,2176.1201171875,16725.359375,1311.699951171875,46.349998474121094
2016-08-31,1.5679999589920044,1.1799999475479126,0.3199999928474426,96.0199966430664,13.420000076293945,2170.949951171875,16887.400390625,1306.9000244140625,44.70000076293945
2016-09-01,1.5700000524520874,1.1820000410079956,0.3149999976158142,95.6500015258789,13.479999542236328,2170.860107421875,16926.83984375,1312.199951171875,43.15999984741211
2016-09-02,1.5959999561309814,1.190000057220459,0.30300000309944153,95.87999725341797,11.979999542236328,2179.97998046875,16925.6796875,1322.0999755859375,44.439998626708984
2016-09-05,,,,,,,17037.630859375,,
2016-09-06,1.5429999828338623,1.121999979019165,0.30300000309944153,94.81999969482422,12.020000457763672,2186.47998046875,17081.98046875,1349.4000244140625,44.83000183105469
2016-09-07,1.5410000085830688,1.1230000257492065,0.33000001311302185,94.95999908447266,11.9399995803833,2186.159912109375,17012.439453125,1344.300048828125,45.5
2016-09-08,1.6160000562667847,1.190000057220459,0.3330000042915344,95.02999877929688,12.510000228881836,2181.300048828125,16958.76953125,1336.800048828125,47.619998931884766
2016-09-09,1.6720000505447388,1.2230000495910645,0.3330000042915344,95.33999633789062,17.5,2127.81005859375,16965.759765625,1330.0999755859375,45.880001068115234
2016-09-12,1.6720000505447388,1.2029999494552612,0.3499999940395355,95.0999984741211,15.15999984741211,2159.0400390625,16672.919921875,1321.0,46.290000915527344
2016-09-13,1.7339999675750732,1.253999948501587,0.3449999988079071,95.62999725341797,17.850000381469727,2127.02001953125,16729.0390625,1319.0,44.900001525878906
2016-09-14,1.6890000104904175,1.1979999542236328,0.3149999976158142,95.33000183105469,18.139999389648438,2125.77001953125,16614.240234375,1321.5,43.58000183105469
2016-09-15,1.7029999494552612,1.1890000104904175,0.27799999713897705,95.29000091552734,16.299999237060547,2147.260009765625,16405.009765625,1313.5,43.90999984741211
2016-09-16,1.7009999752044678,1.2100000381469727,0.27300000190734863,96.11000061035156,15.369999885559082,2139.159912109375,16519.2890625,1305.800048828125,43.029998779296875
